loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 30, 42.4, 27, 35, 29.9, TYC 2067-268-1
1, 83, 23, 22.6, 26, 42, 47.2, SAO 84740
1, 80, 17, 39.9, 27, 31, 52.0, SAO 84872
1, 79, 34, 24.9, 25, 20, 14.2, HD 156362
1, 82, 40, 23.2, 24, 22, 44.8, SAO 84854
1, 84, 09, 34.6, 24, 12, 29.1, HIP 83375
1, 85, 01, 45.8, 24, 59, 40.7, HD 153312
6, 351, 22, 22.5, 36, 12, 15.2, HD 4841
6, 349, 06, 25.9, 33, 46, 57.2, HD 6130
6, 349, 43, 40.8, 31, 45, 58.9, Upsilon2 Cassiopeiae
6, 351, 45, 58.3, 31, 04, 28.7, HD 3924
6, 356, 47, 58.9, 31, 04, 30.5, Caph
6, 357, 31, 18.6, 33, 12, 50.5, V567 Cassiopeiae
6, 357, 31, 01.7, 35, 34, 56.3, HD 108
