loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 35, 45.3, 24, 46, 11.1, HIP 83007 
1, 85, 36, 22.6, 24, 29, 18.5, Gaia DR3 4566355151176917376
1, 85, 19, 46.4, 22, 39, 50.5, Gaia DR3 4565205405611901056
1, 84, 05, 08.9, 21, 38, 41.5, Gaia DR3 4568089905648752384
1, 83, 33, 01.7, 21, 21, 39.4, HD 155070 
1, 82, 00, 19.6, 21, 21, 20.5, SAO 84942 
1, 81, 38, 49.2, 22, 14, 14.5, Gaia DR3 4568687318419142144
1, 81, 54, 33.7, 23, 12, 12.9, Gaia DR3 4571833158625372416
1, 83, 23, 37.1, 24, 41, 34.7, Gaia DR3 4572488330115561728
6, 3, 07, 05.9, 37, 53, 48.5, Gaia DR3 2210265869326857344
6, 4, 28, 39.3, 37, 22, 55.1, Gaia DR3 2208911167923427328
6, 5, 43, 31.4, 36, 45, 24.4, SAO 20386 
6, 7, 06, 10.0, 35, 33, 20.0, Gaia DR3 2208063135218502272
6, 6, 51, 56.5, 34, 13, 50.3, Gaia DR3 2206991764213479552
6, 6, 03, 10.1, 32, 58, 21.8, SAO 20399 
6, 5, 18, 29.4, 32, 00, 26.9, HD 240206 
6, 2, 26, 01.4, 31, 18, 11.5, HD 240310 
6, 1, 09, 11.1, 31, 41, 41.9, HD 240348 
6, 359, 26, 38.4, 32, 43, 49.5, HD 223471 
6, 358, 59, 51.1, 34, 30, 18.3, HD 223846 
6, 358, 51, 15.4, 35, 41, 18.0, Gaia DR3 2016358266397580928
6, 0, 01, 07.7, 37, 21, 28.4, Gaia DR3 2209617226185237760
6, 0, 56, 01.6, 37, 53, 29.9, Gaia DR3 2209882208488498176
