loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 77, 49, 04.6, 7, 21, 59.7,  1, HIP 88080 
1, 80, 09, 34.5, 12, 30, 11.7, 2, Gaia DR3 4548829691746335872
1, 83, 25, 39.7, 16, 54, 39.9, 4, Gaia DR3 4547503508922631168
1, 83, 40, 51.1, 23, 10, 17.9, 6, SAO 84853 
1, 83, 09, 09.8, 28, 45, 07.3, 7, SAO 84706 
6, 54, 43, 36.2, 13, 18, 40.7, 1, HD 184218 
6, 43, 06, 53.8, 20, 49, 04.7, 2, HIP 98939 
6, 29, 53, 14.2, 29, 42, 47.1, 4, HIP 102642 
6, 3, 56, 46.9, 34, 10, 49.6,  6, HIP 115245 
6, 347, 56, 30.5, 33, 23, 37.7, 7, HD 7010 
