loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 70, 25, 25.0, 20, 26, 53.4, STARLINK-5284
1, 66, 36, 41.7, 19,  9, 39.8, STARLINK-5260
1, 64, 19, 33.2, 18, 28, 31.6, STARLINK-6292
2, 70, 38, 11.2, 21, 25, 52.4, STARLINK-5284
2, 66, 43, 40.2, 20, 03, 33.2, STARLINK-5260
2, 64, 20, 43.8, 19, 21, 48.5, STARLINK-6292

3, 61, 29, 26.9, 23, 03, 26.5, STARLINK-5284
3, 58, 11, 20.9, 21, 13, 01.4, STARLINK-5260
3, 55, 24, 15.6, 20, 16, 30.5, STARLINK-6292

4, 67, 31, 59.5, 22, 42, 27.0, STARLINK-5284
4, 63, 45, 02.0, 21, 06, 04.9, STARLINK-5260
4, 61, 08, 44.9, 20, 18, 55.3, STARLINK-6292
5, 66, 05, 13.0, 24, 03, 42.5, STARLINK-5284
5, 62, 19, 11.8, 22, 15, 51.2, STARLINK-5260
5, 59, 31, 56.1, 21, 25, 10.5, STARLINK-6292
6, 62, 28, 51.6, 25, 05, 51.3, STARLINK-5284
6, 58, 57, 49.2, 23, 03, 53.0, STARLINK-5260
6, 55, 58, 50.9, 22, 06, 17.8, STARLINK-6292
