loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 35, 11.3, 21, 58, 24.9, HD 153847
1, 84, 08, 47.7, 21, 54, 16.0, HD 154733
1, 81, 36, 49.1, 22, 44, 02.3, Gaia DR3 4568851832846448000
1, 81, 14, 10.2, 22, 18, 04.3, HD 156284
1, 80, 52, 22.4, 21, 21, 02.5, SAO 85003
1, 80, 52, 00.7, 19, 52, 26.2, SAO 85037
1, 83, 39, 23.2, 19, 21, 00.7, SAO 84927
1, 84, 50, 22.3, 19, 31, 27.4, SAO 102613
6, 5, 48, 10.6, 35, 20, 42.1, HD 218139
6, 6, 10, 28.7, 33, 36, 11.4, HD 217980
6, 6, 19, 09.8, 32, 34, 45.0, V387 Cep
6, 6, 32, 10.4, 32, 00, 09.2, HD 217817
6, 7, 42, 22.7, 30, 26, 56.1, HD 216912
6, 9, 55, 17.3, 29, 57, 04.4, HD 215189
6, 13, 00, 52.6, 31, 24, 32.9, HD 212136
6, 14, 07, 12.1, 32, 38, 32.9, HD 210839
6, 15, 03, 40.7, 33, 17, 55.9, V442 Cep
6, 16, 12, 45.4, 33, 28, 30.8, HD 208744
