loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 46, 57.4, 20, 08, 23.3, Gaia DR3 4561595434057474304
1, 84, 08, 50.2, 20, 10, 43.3, Gaia DR3 4567006955415948032
1, 81, 59, 33.3, 20, 00, 42.3, HIP 84669 
1, 81, 19, 43.4, 19, 46, 30.6, Gaia DR3 4567274136742843520
1, 80, 37, 20.2, 18, 43, 41.2, Gaia DR3 4555255272060497280
1, 80, 52, 27.1, 17, 56, 16.0, HIP 85385 
1, 81, 59, 30.8, 17, 32, 09.5, SAO 102791 
1, 82, 53, 07.7, 17, 49, 50.4, Gaia DR3 4554389544089183360
1, 84, 45, 28.8, 17, 34, 29.3, Gaia DR3 4548390402488356992
6, 20, 34, 41.5, 37, 33, 59.9 , α Cep 
6, 22, 48, 07.2, 35, 42, 17.8 , HD 201967 
6, 24, 19, 36.0, 31, 38, 15.3, HD 202234 
6, 23, 42, 53.8, 30, 31, 45.2, HD 203168 
6, 21, 54, 54.4, 28, 26, 16.7, HIP 106416 
6, 20, 17, 55.1, 28, 11, 50.6, HIP 107211 
6, 19, 14, 37.3, 28, 34, 47.2, HIP 107650 
6, 17, 51, 56.4, 28, 29, 16.4, HD 235667 
6, 16, 08, 04.0, 28, 46, 03.0, HIP 109130 
6, 15, 51, 17.2, 29, 50, 12.2, V444 Cep 
6, 15, 35, 14.9, 31, 01, 09.6, HD 239849 
6, 16, 20, 16.0, 33, 20, 17.6, HD 239807 
6, 16, 11, 59.0, 34, 19, 55.9, Gaia DR3 2203951992528633472
6, 16, 26, 39.1, 35, 15, 58.1, SAO 19684 
6, 18, 30, 59.7, 37, 47, 29.6, Gaia DR3 2217126473985606912
