loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86,  0, 29  , 19, 21, 37.8, HIP 83936
1, 84, 45, 16  , 20,  3, 13.1, TYC 1544-1138-1
1, 82, 14, 37.9, 20, 16, 51.2, HD 157151
1, 81, 39, 31.7, 18, 20, 33.4, HD 158148
1, 84,  5, 16.1, 17, 17, 18.4, V656 Herculis
1, 86,  9, 58.2, 17, 25, 39.2, HD 155729
6, 19, 47, 58.5, 35,  4, 36.3, HD 205139
6, 18, 32, 34  , 33, 29, 27.4, HD 206842
6, 17, 35,  0.3, 30, 29, 28.4, 13 Cephei
6, 18, 16, 26.6, 29, 48, 31.9, HD 208095
6, 21,  6, 11.6, 28, 41, 32.2, HD 206040
6, 24, 24, 47.4, 29, 35, 21  , HD 202923
6, 25, 38,  1.1, 32, 49, 58.5, HD 200614
