loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 46, 57.4, 20, 08, 23.3, Gaia DR3 4561595434057474304
1, 84, 08, 50.2, 20, 10, 43.3, Gaia DR3 4567006955415948032
1, 81, 59, 33.3, 20, 00, 42.3, HIP 84669 
1, 81, 19, 43.4, 19, 46, 30.6, Gaia DR3 4567274136742843520
1, 80, 37, 20.2, 18, 43, 41.2, Gaia DR3 4555255272060497280
1, 80, 52, 27.1, 17, 56, 16.0, HIP 85385 
1, 81, 59, 30.8, 17, 32, 09.5, SAO 102791 
1, 82, 53, 07.7, 17, 49, 50.4, Gaia DR3 4554389544089183360
1, 84, 45, 28.8, 17, 34, 29.3, Gaia DR3 4548390402488356992
6, 28, 14, 11.9, 34, 32, 04.9, HIP 102183 
6, 28, 41, 14.5, 31, 15, 42.6, HIP 102747 
6, 27, 39, 14.4, 31, 17, 10.1, HD 199393 
6, 25, 56, 28.3, 31, 23, 18.6, HIP 103966 
6, 24, 19, 36.0, 31, 38, 15.3, HD 202234 
6, 24, 02, 32.5, 35, 22, 51.7, HD 239563 
6, 24, 50, 03.3, 35, 55, 31.0, HIP 103448 
6, 27, 01, 13.6, 35, 12, 57.6, V416 Cep
