loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 44, 26.0, 9, 06, 51.8, SAO 103030 
1, 77, 36, 08.5, 9, 52, 10.9, Gaia DR3 4499888466391722240
1, 75, 56, 31.2, 8, 40, 28.8, HIP 88455 
1, 75, 28, 55.9, 7, 18, 03.5, HIP 88814 
1, 76, 25, 22.3, 6, 34, 33.0, HIP 88627 
1, 79, 45, 46.5, 6, 44, 55.1, Gaia DR3 4489705652985975680
1, 83, 40, 46.5, 7, 01, 21.4, HIP 86353 
1, 84, 01, 26.6, 8, 27, 17.2, HIP 86027 
6, 53, 47, 52.4, 15, 23, 33.4, HIP 96063 
6, 52, 36, 35.4, 14, 24, 24.0, Gaia DR3 2032419038948691072
6, 51, 36, 48.4, 11, 38, 03.0, HIP 97426 
6, 53, 24, 40.9, 10, 45, 19.0, HIP 96954 
6, 56, 56, 24.0, 10, 44, 19.5, 6 Vul 
6, 58, 19, 54.2, 10, 38, 17.7, HIP 95312 
6, 62, 35, 56.8, 10, 10, 56.6, HIP 93975 
6, 64, 22, 26.6, 11, 01, 43.4, HD 176481 
6, 64, 23, 49.0, 12, 19, 54.1, HIP 93020 
6, 64, 24, 07.0, 13, 31, 04.6, HD 343365 
6, 63, 15, 04.5, 13, 53, 35.0, HIP 93121 
6, 56, 15, 07.0, 14, 54, 08.8, SAO 87144 
6, 54, 52, 55.9, 15, 05, 07.0, HIP 95728 
