loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 44, 26.0, 9, 06, 51.8, SAO 103030 
1, 81, 38, 53.2, 6, 50, 18.2, Gaia DR3 4489223237960664576
1, 83, 40, 46.5, 7, 01, 21.4, HIP 86353 
1, 84, 01, 26.6, 8, 27, 17.2, HIP 86027 
3, 60, 00, 53.4, 12, 26, 39.5, Gaia DR3 2035641192096113536
3, 60, 31, 29.0, 10, 11, 04.4, HIP 94187 
3, 62, 05, 41.2, 10, 30, 16.0, Gaia DR3 4520753971582642944
3, 62, 13, 35.8, 11, 08, 40.2, Gaia DR3 4521019366202964224
3, 61, 55, 58.5, 11, 51, 35.5, Gaia DR3 4533444328629037312
3, 60, 47, 15.6, 12, 30, 29.4, Gaia DR3 4533682853936407552
