loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
5, 25, 25, 22.6, 40, 05, 05.6, 2 Cep 
5, 12, 04, 53.1, 37, 19, 34.0, 17 Cep 
5, 9, 48, 17.5, 34, 18, 30.1, LDN 1196
5, 10, 46, 24.7, 31, 41, 26.0, HIP 110561 
5, 12, 26, 37.3, 26, 56, 09.9, HD 235797 
5, 13, 22, 31.6, 26, 24, 26.6, HD 211209 
5, 18, 21, 57.8, 26, 40, 12.0, HIP 107398 
5, 30, 15, 14.0, 28, 36, 39.7, HIP 101691 
5, 36, 31, 27.8, 30, 08, 29.5, e Cyg 
5, 36, 46, 24.7, 33, 27, 53.8, d Cyg 
5, 35, 31, 38.9, 36, 01, 14.9, HIP 97464 
7, 204, 03, 00.7, 82, 14, 33.8, HIP 55371 
7, 199, 54, 06.2, 81, 30, 20.9, HD 237994 
7, 189, 55, 13.8, 78, 40, 16.6, HIP 56141 
7, 196, 13, 41.0, 77, 34, 54.8, HIP 55418 
7, 215, 33, 44.0, 69, 30, 48.1, HIP 51846 
7, 230, 09, 14.4, 67, 34, 16.4, HIP 49239 
7, 241, 39, 13.5, 65, 32, 35.2, HIP 46963 
7, 254, 08, 10.0, 62, 51, 52.9, 9 UMa 
7, 261, 19, 32.0, 60, 37, 26.3, HIP 42101 
7, 267, 23, 54.5, 58, 27, 08.8, HIP 40165 
7, 270, 00, 20.9, 56, 44, 42.4, HIP 39005 
7, 273, 27, 51.1, 54, 52, 19.8, HIP 37571 
7, 280, 55, 31.3, 60, 14, 43.4, HD 62922 
7, 289, 36, 43.6, 63, 28, 14.5, HIP 38249 
7, 300, 31, 13.2, 65, 33, 37.5, 51 Cam 
7, 306, 00, 33.1, 68, 16, 58.6, HIP 39616 
7, 298, 01, 05.0, 73, 51, 17.6, 11 UMa 
7, 288, 29, 34.2, 77, 15, 43.5, HIP 47791 
7, 275, 28, 05.9, 79, 37, 07.3, HIP 49829 
7, 246, 45, 38.4, 82, 30, 20.7, HIP 52786 
