loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
5, 25, 25, 22.6, 40, 05, 05.6, 2 Cep 
5, 9, 48, 17.5, 34, 18, 30.1, LDN 1196
5, 4, 36, 29.1, 32, 58, 49.3, V387 Cep 
5, 2, 14, 28.2, 35, 55, 42.6, HIP 115082 
5, 2, 26, 31.2, 40, 14, 59.7, HIP 114785 
5, 9, 39, 08.4, 41, 53, 18.2, SAO 19959 
5, 8, 45, 15.0, 42, 24, 19.4, HIP 110307 
5, 15, 42, 45.7, 41, 25, 13.7, HIP 106085 
7, 261, 19, 32.0, 60, 37, 26.3, HIP 42101 
7, 254, 08, 10.0, 62, 51, 52.9, 9 UMa 
7, 241, 39, 13.5, 65, 32, 35.2, HIP 46963 
7, 243, 54, 47.0, 63, 00, 44.6, HIP 45888 
7, 246, 15, 20.6, 57, 56, 37.4, 10 UMa 
7, 247, 40, 01.7, 48, 47, 49.6, HIP 41931 
7, 247, 50, 26.1, 45, 12, 14.4, HIP 41172 
7, 251, 54, 30.2, 44, 55, 09.5, HIP 40118 
7, 256, 33, 11.5, 46, 26, 00.7, HIP 39279 
7, 263, 51, 35.1, 48, 07, 55.7, HIP 37863 
7, 266, 33, 12.3, 48, 51, 04.3, HIP 37365 
7, 265, 48, 12.4, 52, 44, 12.8, HIP 38659 
7, 264, 56, 33.7, 56, 55, 09.2, HIP 40158 
