loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 17, 06.5, 8, 15, 49.6,  1, HIP 87701 
1, 79, 01, 03.2, 13, 21, 20.1, 2, HIP 86676 
1, 84, 36, 45.7, 15, 42, 15.6, 3, Gaia DR3 4547229215128304768
1, 82, 18, 41.2, 18, 54, 34.1, 4, Gaia DR3 4554787326785770112
1, 85, 31, 43.6, 24, 22, 35.8, 5, SAO 84713 
1, 80, 45, 11.1, 26, 30, 59.6, 6, HIP 83903 
1, 81, 25, 20.9, 32, 38, 52.6, 7, Gaia DR3 1313353067281780096
6, 52, 42, 15.2, 14, 14, 37.4, 1, V1745 Cyg 
6, 37, 29, 31.1, 21, 18, 34.0, 2, HIP 100987 
6, 40, 47, 19.6, 27, 48, 53.1, 3, HD 189452 
6, 19, 41, 00.9, 31, 55, 19.0, 4, HIP 106886 
6, 1, 27, 45.5, 34, 53, 13.5,  5, Gaia DR3 2015908497422129664
6, 351, 30, 36.3, 33, 13, 08.1, 6, Gaia DR3 426985414992416384
6, 338, 49, 27.5, 31, 24, 38.7, 7, Gaia DR3 505047716903785728
