loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
6, 345, 32, 01.9, 24, 07, 50.9, HIP 5062 
6, 350, 39, 47.2, 26, 18, 14.5, 17 Cas
6, 354, 17, 16.0, 20, 11, 53.9, HIP 967 
6, 0, 06, 49.3, 22, 19, 33.2, HIP 116709
6, 3, 04, 32.1, 21, 26, 29.0, HD 220284 
6, 11, 21, 49.9, 26, 11, 05.3, HIP 111115 
6, 13, 04, 06.7, 27, 30, 36.9, HD 211868 
7, 127, 48, 41.7, 76, 32, 53.1, HIP 63143 
7, 173, 59, 22.5, 76, 02, 50.9, HIP 57876 
7, 219, 17, 28.4, 80, 58, 01.3, 48 UMa
7, 305, 50, 22.8, 68, 56, 15.1, 55 Cam 
7, 256, 32, 58.8, 42, 00, 10.5, HIP 38317 
