loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 87, 18, 57.6, 12, 54, 11.7, Gaia DR3 4541368779497559808
1, 88, 31, 49.7, 13, 41, 44.3, Gaia DR3 4541617681444178432
1, 89, 01, 00.6, 14, 14, 14.0, HD 155045 
1, 89, 47, 19.7, 15, 42, 24.3, 32 Oph 
1, 90, 07, 37.0, 17, 25, 14.9, HIP 83083 
1, 89, 33, 41.4, 17, 30, 45.3, HD 153700 
1, 88, 40, 25.2, 17, 19, 31.9, HIP 83495 
1, 87, 45, 08.1, 16, 28, 13.5, HD 155072 
1, 87, 05, 11.1, 14, 40, 15.3, Rasalgethi
6, 48, 47, 43.5, 36, 14, 12.4, HIP 93299 
6, 49, 36, 25.3, 35, 32, 31.8, Gaia DR3 2132218101577817344
6, 49, 41, 36.5, 33, 27, 18.0, HD 178305 
6, 48, 15, 31.1, 29, 22, 15.2, HIP 95362 
6, 47, 04, 59.0, 25, 56, 34.4, SAO 48675 
6, 46, 14, 47.3, 24, 27, 53.9, HD 225691 
6, 45, 44, 13.2, 23, 15, 21.3, V380 Cyg 
6, 44, 55, 05.6, 25, 42, 37.6, V1154 Cyg 
6, 44, 58, 53.0, 28, 27, 03.0, HIP 96825 
6, 47, 03, 16.3, 35, 16, 33.4, HD 234824 
